species,sex,length,age
"Spotted","female","5.1 5.2 5.3",65
"Softshell","female","10.3 10.2",10
"Spotted","female","4.4 4.3 4.5",31
"Spotted","male","4.1 4.1 4.0 4.0",39
"Spotted","female","5.1 5.2 5.0 4.9",61
"Softshell","female","10.5 10.4",31
"Softshell","female","9.9 10.0",19
"Spotted","female","5.6 5.5",59
"Spotted","female","5.0 4.7 4.8",56
"Softshell","female","8.8 8.5 8.8",6
"Softshell","female","11.1 10.9 11.0",25
"Softshell","female","10.8 11.2",18
"Spotted","female","3.7 4.0 3.8 3.9",27
"Spotted","female","4.7 5.0",60
"Spotted","female","5.2 5.2 5.2",47
"Spotted","female","5.8 5.6",45
"Spotted","female","5.4 5.5 5.6",77
"Softshell","female","10.1 10.2",15
"Spotted","male","4.2 4.0 4.2",42
"Spotted","male","3.8 4.1 3.9 3.9",31
"Spotted","female","5.1 5.1 4.9",48
"Spotted","female","5.2 5.2",51
"Spotted","female","4.9 5.0 5.1",40
"Spotted","male","2.7 3.1",22
"Spotted","male","2.5 2.6 2.6",13
"Softshell","female","10.8 10.7",24
"Spotted","female","4.6 4.7 4.6",35
"Spotted","male","3.8 3.6",33
"Softshell","male","8.9 8.7 9.0 9.3",20
"Softshell","male","9.5 9.4 9.6",13
"Spotted","female","4.8 4.8",40
"Softshell","male","9.8 9.8 9.9 9.9 9.6",21
"Softshell","female","10.2 10.1 10.2",23
"Softshell","male","9.4 9.5 9.1 9.3 9.3",20
"Spotted","male","3.0 3.2 3.1 3.3 3.1",26
"Softshell","female","10.3 10.2 10.2",18
"Softshell","female","11.1 10.9",23
"Softshell","female","9.5 9.4 9.3",18
"Spotted","female","5.5 5.0 5.2",77
"Softshell","female","10.0 9.9 10.0",28
"Spotted","male","3.8 4.0 3.8 3.8",57
"Softshell","female","11.3 11.3 11.4",23
"Spotted","male","3.5 3.4 3.6 3.6 3.6",32
"Softshell","female","10.2 10.2 10.4 10.3 10.2",23
"Spotted","female","6.0 5.8 6.0 6.2",114
"Spotted","female","5.1 5.1 5.2",66
"Spotted","female","4.6 4.4",20
"Spotted","female","4.5 4.8 4.8",78
"Spotted","male","3.5 3.7",23
"Softshell","male","9.6 9.5 9.6",16
"Spotted","male","3.2 3.2 3.1 3.3",22
"Spotted","female","5.1 4.8 4.9",36
"Spotted","male","3.4 3.2 3.4 3.4 3.3",21
"Spotted","female","4.6 4.6 4.4",36
"Spotted","female","5.4 5.6",73
"Spotted","male","3.3 3.6",16
"Softshell","male","9.4 9.3 9.3 9.4",19
"Spotted","female","4.3 4.3 4.4",69
"Softshell","female","10.1 9.9",16
"Spotted","male","3.9 3.7 3.7 3.8",24
"Softshell","male","9.2 9.1 9.3",26
"Softshell","female","10.9 11.0 10.9",23
"Softshell","female","10.1 10.4 10.6",21
"Softshell","male","9.8 9.7 9.7 9.7 9.8 9.7",12
"Spotted","female","5.4 5.4 5.4 5.7 5.3",101
"Spotted","male","3.8 4.0",23
"Spotted","male","3.2 3.2",16
"Softshell","male","8.5 8.3 8.5",4
"Softshell","male","9.6 9.5 9.6",21
"Softshell","male","10.5 10.3",15
"Spotted","male","3.5 3.6",17
"Spotted","female","4.0 4.2 4.1",44
"Spotted","male","2.5 2.5 2.7",12
"Softshell","male","9.0 8.9 8.7 8.7",25
"Spotted","female","6.5 6.7 6.8",104
"Softshell","female","10.1 10.3",28
"Softshell","female","10.6 10.6",27
"Softshell","male","8.9 9.0 9.3",25
"Softshell","female","11.4 11.2 11.2 11.3",31
"Spotted","female","5.3 5.2",95
"Softshell","male","8.8 9.1",11
"Spotted","female","5.2 4.9",61
"Spotted","female","5.0 5.1 5.1 4.9",62
"Spotted","male","3.3 3.3 3.5",28
"Spotted","male","3.4 3.1",31
"Spotted","male","3.9 3.9",27
"Spotted","male","3.8 3.7",41
"Spotted","female","6.1 5.9",86
"Spotted","female","4.6 5.0 4.9",68
"Softshell","male","8.7 8.6 8.6",8
"Spotted","female","5.2 5.2",75
"Spotted","female","5.4 5.3",37
"Spotted","female","4.4 4.5 4.5",29
"Softshell","female","11.5 11.5",29
"Spotted","male","3.1 3.3 3.3 3.3 3.1",21
"Spotted","male","4.0 3.8",46
"Softshell","female","11.0 10.8 11.1",13
"Spotted","male","3.2 3.2 3.4 3.3",16
"Softshell","female","10.8 10.8 10.8",29
"Spotted","female","4.2 4.0",30
"Spotted","male","3.7 3.3 3.4",26
"Spotted","male","3.5 3.5 3.7",38
"Softshell","female","11.4 11.2 11.5 11.5 11.4 11.1",36
"Spotted","female","6.1 5.8",77
"Spotted","male","2.9 2.9 2.7",17
"Softshell","male","9.2 9.3 9.3 9.4 9.6",32
"Softshell","male","9.5 9.7",27
"Softshell","female","10.1 10.3",16
"Spotted","female","5.6 5.5 5.6 5.3 5.3",60
"Spotted","female","5.9 5.7 5.5 5.8",76
"Softshell","female","10.1 10.1",12
"Spotted","female","5.8 5.9",51
"Softshell","male","9.1 9.4",17
"Softshell","female","10.5 10.6 10.2 10.6",9
"Softshell","female","10.9 11.0 11.0 10.9",26
"Spotted","female","5.0 4.9",53
"Softshell","female","9.4 9.3 9.2 9.2",23
"Spotted","male","3.8 3.9 3.6",41
"Softshell","female","10.4 10.2",21
"Softshell","female","10.6 10.5",25
"Softshell","male","9.7 9.8",34
"Spotted","female","5.1 5.0",37
"Softshell","female","10.4 10.5",27
"Softshell","male","8.7 8.7 8.7",10
"Softshell","male","8.9 8.9 9.0 9.0 9.1",12
"Softshell","male","8.7 8.6",14
"Spotted","male","3.1 2.8 2.9",11
"Spotted","female","5.2 5.1",74
"Spotted","female","5.1 5.2 5.0",87
"Spotted","male","3.3 3.7 3.3",42
"Softshell","female","10.5 10.5 10.5",29
"Softshell","female","11.0 11.0",30
"Spotted","female","5.6 5.5 5.8",79
"Softshell","female","10.0 10.3",11
"Spotted","male","3.9 3.7 3.9",28
"Spotted","female","5.0 5.2",67
"Spotted","male","3.6 3.7 3.5 3.6",36
"Spotted","female","5.4 5.4 5.7",68
"Spotted","female","5.9 5.8",67
"Spotted","female","4.6 4.6 4.9",58
"Spotted","female","5.2 5.2",45
"Softshell","female","10.4 10.3 10.3 10.3",36
"Softshell","male","8.9 8.8",18
"Spotted","female","5.7 5.6",61
"Spotted","female","4.3 4.1 4.3 4.4",43
"Softshell","female","9.6 9.3",26
"Softshell","female","10.5 10.4",19
"Softshell","female","9.4 9.9",7
"Spotted","female","5.1 4.9 5.0",58
"Spotted","female","4.1 4.3 4.2 4.0",22
"Softshell","female","10.3 10.5 10.7 10.5",20
"Softshell","female","10.7 10.7",27
"Softshell","female","11.2 11.4 11.1",29
"Softshell","male","8.7 8.9",19
"Spotted","female","5.5 5.5",62
"Spotted","female","5.5 5.6",54
"Spotted","male","3.0 2.9",11
"Softshell","male","9.6 9.4",22
"Spotted","male","3.6 3.5",26
"Spotted","female","3.8 4.1 4.0",28
"Softshell","female","11.0 10.8",14
"Spotted","female","4.6 4.6",52
"Spotted","female","5.1 5.2 5.0",46
"Spotted","male","3.6 3.4 3.5",43
"Softshell","male","9.3 9.2 9.1",15
"Softshell","female","10.9 10.9 10.8 10.8",24
"Spotted","male","3.9 3.5 3.9 3.8",18
"Spotted","male","4.6 4.4 4.5",57
"Softshell","female","10.2 10.2",6
"Softshell","female","11.3 11.9 11.5",29
"Softshell","female","10.3 10.6 10.5",27
"Softshell","female","11.5 11.4",27
"Softshell","female","10.2 10.1",8
"Spotted","female","4.5 4.6 4.3 4.6",49
"Softshell","male","9.1 9.2",17
"Spotted","female","4.6 4.7",65
"Spotted","female","5.6 5.6 5.5",61
"Spotted","female","5.0 5.2 5.1",90
"Spotted","female","5.5 5.4 5.5",27
"Spotted","male","3.2 3.4 3.4",32
"Spotted","male","4.1 4.3",37
"Spotted","female","4.7 4.7 4.7 4.6 4.6",59
"Softshell","female","10.1 10.1 10.2",9
"Spotted","male","3.5 3.3",36
"Spotted","female","6.2 6.2",93
"Spotted","female","5.3 5.4",49
"Softshell","male","8.8 9.0 8.6 8.9",6
"Spotted","female","5.6 5.3 5.6",59
"Spotted","male","3.4 3.6",26
"Spotted","male","3.0 2.7 2.7",36
"Softshell","female","9.7 9.8 9.9 9.8 9.8",16
"Softshell","male","9.5 9.5",25
"Spotted","male","3.4 3.4 3.5",62
"Spotted","female","4.0 4.1 4.0 4.3",43
"Spotted","female","4.5 4.5",76
"Spotted","male","4.3 4.3 4.5",42
"Spotted","male","3.4 3.5 3.5",42
"Spotted","female","5.0 5.2 5.1 4.9",69
"Softshell","female","11.1 11.1",34
"Softshell","female","10.7 10.6 10.7",19
"Softshell","male","9.6 9.3 9.7 9.6",24
"Softshell","female","10.0 10.3",18
"Spotted","female","4.8 4.6 4.5 4.5",44
"Softshell","male","9.8 9.7",19
"Softshell","female","9.8 9.9 9.6 9.7 9.8",18
"Spotted","female","4.8 4.6 4.6 4.7 4.6",23
"Spotted","female","5.0 5.1 5.2",69
"Spotted","female","6.1 6.0 5.9",76
"Spotted","female","4.0 3.8",21
"Spotted","female","5.0 5.2 5.3 5.0 5.3 5.1 4.9 5.4",59
"Spotted","female","5.9 5.9",102
"Softshell","female","10.4 10.4",27
"Spotted","female","5.1 4.9 5.1",29
"Softshell","male","8.6 8.3 8.3",23
"Spotted","female","5.2 5.2 5.3 5.2",114
"Spotted","male","3.5 3.2 3.3",27
"Spotted","female","5.7 5.7 5.9 5.9",94
"Spotted","female","4.5 4.8 4.8",59
"Spotted","female","4.2 4.3",59
"Spotted","male","2.8 3.0 2.9 2.9 3.0 2.9 3.1",21
"Spotted","male","3.1 3.4 3.2",11
"Spotted","male","3.3 3.0 3.2",19
"Softshell","male","9.3 9.1 9.1",17
"Spotted","female","4.7 4.9 4.8 5.0",54
"Spotted","male","3.4 3.2 3.4 3.5",18
"Softshell","female","10.5 10.3",20
"Spotted","male","3.1 3.2 3.2",37
"Softshell","male","10.0 10.1 10.0 10.0 10.0",25
"Softshell","female","10.9 11.2 10.8",21
"Spotted","male","3.7 3.6",36
"Softshell","male","8.5 8.5 8.6",12
"Spotted","female","5.2 5.0 5.6",46
"Softshell","female","10.5 10.4 10.4 10.5 10.4",25
"Spotted","female","3.4 3.4 3.8",19
"Softshell","male","9.3 9.3",22
"Spotted","male","2.6 2.4",6
"Spotted","female","4.9 5.1 4.8",68
"Spotted","female","5.3 5.3",48
"Spotted","female","5.9 5.7 5.6 5.7",65
"Spotted","female","5.4 5.4 5.5",53
"Spotted","female","5.1 5.1 5.1",69
"Spotted","female","5.2 5.2",45
"Softshell","female","11.4 11.1 11.2",30
"Softshell","male","8.6 8.6",6
"Softshell","female","10.5 10.3 10.2",18
"Softshell","male","9.2 9.2 9.0 9.1",14
"Softshell","male","9.3 9.0 9.4",15
"Spotted","male","2.6 2.5",26
"Softshell","male","9.3 9.3 9.3 9.3 9.0 9.3",25
"Softshell","male","9.2 8.9",14
"Spotted","male","4.2 4.0 4.0",51
"Softshell","female","10.2 10.3 10.3 10.3 10.3 10.2 10.2",15
"Spotted","male","3.9 3.9",33
"Spotted","female","5.1 5.0",46
"Softshell","male","9.3 9.3",17
"Spotted","male","3.2 3.2",21
"Softshell","female","10.7 10.9",18
"Softshell","female","10.7 10.8 10.8 10.7",17
"Spotted","female","4.8 4.6 4.8",53
"Softshell","male","9.9 10.0 9.9",25
"Spotted","male","3.5 3.2",31
"Spotted","female","5.4 5.2 5.2",76
"Softshell","female","10.7 11.0",21
"Spotted","male","2.1 2.2",6
"Softshell","female","9.2 8.8 9.1",7
"Spotted","female","4.9 4.6 4.9",30
"Spotted","female","5.4 5.0 5.4 5.3",30
"Softshell","female","10.4 10.2",12
"Spotted","female","4.3 4.0",43
"Softshell","female","10.2 10.5 10.5",20
"Spotted","male","3.8 3.7 3.9",21
"Spotted","male","3.2 3.2 3.3",27
"Softshell","female","10.5 10.3 10.6",21
"Spotted","female","4.8 4.8 4.7 4.8",44
"Spotted","female","4.8 4.6 4.9",35
"Softshell","female","10.8 10.7 10.9",23
"Spotted","female","5.5 5.4 5.3 5.6",57
"Softshell","male","9.1 9.2 8.9",27
"Softshell","male","9.5 9.5",23
"Spotted","female","4.9 4.9",45
"Softshell","male","10.5 10.3",33
"Softshell","female","10.7 10.5 10.1",39
"Softshell","male","8.9 8.8 8.7",20
"Spotted","female","4.6 4.6",47
"Spotted","female","5.0 5.3",45
"Spotted","female","4.0 4.2 3.9",27
"Softshell","female","10.2 10.4",28
"Softshell","female","10.5 10.3 10.4",19
"Softshell","female","11.0 11.1 11.1 11.0 11.1",18
"Softshell","female","11.2 10.9",22
"Spotted","female","4.5 4.5 4.5 4.7 4.5",66
"Spotted","male","3.3 3.2 3.2",32
"Spotted","female","4.8 4.8 4.9 5.0",42
"Spotted","female","4.4 4.7 4.5 4.9",45
"Softshell","male","9.4 9.7 9.7 9.9",20
"Spotted","male","2.1 2.2",9
"Spotted","male","3.2 3.2 3.2",33
"Softshell","female","10.1 10.0 10.1",17
"Softshell","female","10.4 10.5 10.4",32
"Spotted","female","5.0 5.1 5.2",76
"Softshell","male","8.5 8.4 8.7",13
"Spotted","male","3.5 3.7 3.6",42
"Softshell","female","11.1 11.0 10.9 10.9",20
"Spotted","male","3.9 3.8 4.0",31
"Softshell","female","10.4 10.5 10.5",14
"Spotted","female","6.0 5.7 5.9",46
"Spotted","male","3.0 2.9 3.1 3.1",21
"Softshell","male","9.9 10.0",15
"Spotted","female","4.8 5.0",37
"Softshell","female","10.3 10.4",23
"Spotted","male","2.9 2.7 2.5 2.7",17
"Spotted","female","6.0 5.9 6.3 6.3",76
"Spotted","female","5.1 4.9 4.9",88
"Softshell","female","9.6 9.8",26
"Spotted","female","4.9 5.0 5.0 4.9 5.1",44
"Softshell","female","11.5 11.3",19
"Softshell","female","10.8 10.7 10.6",16
"Softshell","female","10.5 10.8",34
"Spotted","male","3.5 3.5",27
"Spotted","male","2.7 2.8 2.8 2.9 2.8",36
"Softshell","female","10.3 10.5",23
"Spotted","female","4.9 5.0 4.9",36
"Softshell","female","10.6 10.6 10.4",30
"Spotted","female","5.1 4.9",58
"Spotted","male","2.8 2.8 2.8 2.9 2.7",17
"Softshell","male","8.9 9.0",15
"Spotted","female","5.3 5.3 5.1",126
"Spotted","female","5.6 5.8",77
"Spotted","male","4.8 4.9 4.9",47
"Spotted","female","5.3 5.3",53
"Spotted","female","4.6 4.8 4.7 4.8",59
"Spotted","female","5.7 5.5 5.6 5.8",70
"Spotted","female","5.5 5.5 5.6",55
"Spotted","female","5.2 5.2 5.2",66
"Spotted","female","4.7 5.0",37
"Spotted","female","5.3 5.5 5.6 5.3",104
"Spotted","female","5.7 6.0 5.6",79
"Spotted","female","6.0 5.8 5.8 5.9",76
"Softshell","female","10.5 10.5",13
"Softshell","male","9.3 9.3",22
"Spotted","female","4.8 4.8 4.8",48
"Softshell","female","10.2 10.2 10.1",28
"Softshell","female","10.5 10.5 10.7 10.4",21
"Spotted","male","3.9 4.1",31
"Softshell","female","10.1 10.2 10.0",16
"Softshell","male","9.9 9.8 9.8",25
"Spotted","female","5.1 5.0 4.9",61
"Spotted","female","4.9 4.9",33
"Spotted","female","5.0 5.1 5.1",95
"Spotted","female","5.0 5.0 4.9",48
"Spotted","female","5.4 5.6",68
"Softshell","male","9.3 9.2",23
"Softshell","female","9.8 9.9 9.8",10
"Softshell","male","9.9 10.0 9.8 9.9",24
"Softshell","male","9.4 9.6",16
"Softshell","female","11.1 11.3 11.3 11.2 11.2",24
"Spotted","female","4.9 4.8 4.9",45
"Softshell","male","9.6 9.4 9.3",26
"Softshell","female","10.1 10.4 10.2",27
"Softshell","male","8.5 8.6",17
"Softshell","male","9.2 9.4",17
"Softshell","female","10.4 10.6",8
"Spotted","female","4.6 4.6 4.9",43
"Softshell","male","9.9 10.3 10.1",23
"Softshell","female","10.0 10.0 10.0",8
"Spotted","female","6.0 5.8 5.7 5.7",54
"Spotted","female","5.1 5.3 5.1",54
"Spotted","male","3.8 3.6 3.8",27
"Spotted","male","3.1 3.2 3.2 3.2 3.1",16
"Softshell","female","10.0 9.8 9.9 10.1 10.0",10
"Spotted","female","4.6 4.7",44
"Softshell","male","9.5 9.7 9.5",25
"Spotted","male","3.0 3.0 3.0 3.0 2.8",7
"Softshell","male","9.0 9.0",15
"Spotted","female","4.3 4.4 4.3",46
"Softshell","female","10.4 10.2 10.1 10.2",24
"Softshell","female","9.9 9.9",20
"Softshell","male","9.6 9.8",22
"Softshell","female","9.9 10.0 10.0 10.0",34
"Spotted","female","5.0 4.9 5.2 5.1",34
"Spotted","female","5.2 5.3",69
"Softshell","male","9.3 9.3 9.4",8
"Softshell","male","9.1 9.3",25
"Spotted","female","4.8 4.8 4.4",59
"Spotted","female","5.4 5.3",91
"Spotted","female","5.4 5.1",44
"Spotted","male","2.9 2.9 2.9",32
"Softshell","female","10.4 10.3 10.3",21
"Spotted","female","4.9 4.8",71
"Spotted","male","1.6 1.7 1.7 1.7",1
"Spotted","female","5.2 5.0",72
"Softshell","female","9.7 9.6 9.6 9.7",8
"Softshell","female","10.6 10.5 10.4 10.4 10.5",31
"Spotted","female","5.1 5.0",28
"Softshell","male","10.8 10.6",34
"Softshell","female","10.8 10.9 10.8",14
"Softshell","male","9.4 9.3 9.6",20
"Softshell","male","8.3 8.4 8.3",17
"Spotted","female","4.9 4.9",50
"Softshell","female","10.5 10.7",26
"Softshell","female","10.9 10.9 11.0",19
"Spotted","female","6.0 5.9 6.1 5.6",80
"Spotted","female","5.1 4.9",53
"Softshell","female","10.7 10.8 10.9",19
"Spotted","male","3.2 3.4",18
"Softshell","male","9.5 9.2 9.4",30
"Spotted","female","5.1 5.3 5.2 5.3",44
"Softshell","male","9.3 9.1 9.1",29
"Softshell","male","8.3 8.1 8.3",13
"Spotted","female","4.8 5.0 5.0",45
"Spotted","female","5.6 5.2",70
"Softshell","female","11.0 10.8 10.5 10.6",17
"Spotted","female","5.3 5.2",49
"Softshell","female","10.8 11.0",37
"Spotted","male","3.8 3.8 3.9",42
"Spotted","male","3.5 3.4",31
"Spotted","female","5.1 5.3 5.3",46
"Softshell","female","11.0 11.0 11.2",29
"Softshell","female","10.6 10.8",20
"Softshell","female","10.3 10.4",28
"Spotted","female","4.6 4.3 4.5 4.7",30
"Spotted","female","5.2 5.1 5.1",41
"Softshell","male","8.2 8.4 8.3",8
"Spotted","male","4.0 4.0 4.1 4.2",37
"Spotted","male","2.8 3.3 3.1",35
"Softshell","female","10.2 10.2",11
"Spotted","male","3.6 3.9 4.0 3.7",21
"Softshell","female","10.3 10.4 10.1 10.3 10.1",14
"Spotted","female","5.4 5.6 5.5",60
"Spotted","male","4.3 4.4 4.3",45
"Spotted","female","4.5 4.7 4.7 4.5",29
"Spotted","female","5.5 5.3",68
"Softshell","female","9.9 10.0 10.0 10.0 9.9",11
"Softshell","male","9.2 9.3",15
"Softshell","female","10.4 10.8 10.6 10.8 10.7",37
"Softshell","female","10.7 10.6 10.5 10.4",22
"Spotted","male","3.2 3.1 3.2 3.3 3.1 3.5",32
"Spotted","male","3.7 4.0 4.0",52
"Spotted","male","2.7 2.8 2.9",18
"Softshell","male","9.8 10.0 9.9",17
"Softshell","male","9.9 9.9",19
"Spotted","male","3.8 4.0",26
"Spotted","male","3.2 3.1 3.4",26
"Spotted","female","6.1 6.1",95
"Softshell","female","10.7 10.7",12
"Spotted","male","3.1 3.3",26
"Softshell","male","9.4 9.2 9.0 9.1",24
"Softshell","male","9.1 8.9 8.9",34
"Softshell","female","9.5 9.5 9.6",22
"Spotted","male","3.3 3.5 3.3",31
"Softshell","female","9.8 9.7",13
"Softshell","female","10.7 10.7 10.7",31
"Spotted","female","5.3 5.4",54
"Spotted","male","3.6 3.6",16
"Spotted","male","3.9 3.7 3.6 3.7",42
"Spotted","female","5.0 4.8 4.9",19
"Spotted","female","4.9 4.8",47
"Softshell","female","10.5 10.8",17
"Softshell","female","10.9 10.7 10.7",19
"Softshell","female","10.9 10.8 10.4 10.7",27
"Spotted","female","3.9 3.8 4.0",29
"Softshell","female","10.3 10.4 10.5 10.4",22
"Spotted","female","4.7 5.1 4.9",54
"Spotted","male","3.9 3.7",22
"Spotted","female","5.5 5.7 5.6",87
"Spotted","female","5.1 5.3",94
"Spotted","female","5.7 5.8 5.7",69
"Softshell","male","8.8 8.6 8.7",14
"Spotted","male","3.2 3.1 3.4",22
"Softshell","female","10.9 10.8 10.9",36
"Softshell","female","10.6 10.8",12
"Softshell","female","10.4 10.8",26
"Softshell","female","10.8 10.8 10.7 10.7 10.7",24
"Softshell","male","9.8 9.8",16
"Spotted","female","4.8 4.9",58
"Spotted","female","5.0 5.0 5.2",77
"Softshell","male","8.8 9.0",12
"Softshell","female","9.7 9.9 9.9 9.9",25
"Softshell","male","9.7 9.8",21
"Spotted","female","5.0 4.7",54
"Spotted","female","5.3 5.4 5.4 5.2",77
"Spotted","female","4.7 4.5",44
"Spotted","female","4.6 4.8 4.9",82
"Spotted","female","5.2 4.9 5.2 5.2 5.3",77
"Softshell","female","10.5 10.4",21
"Softshell","female","11.2 10.9",17
"Softshell","female","9.2 9.2 9.0 9.4",5
"Softshell","female","10.5 10.5 10.4 10.4",24
"Softshell","female","10.6 10.8 10.8 10.8 10.9",23
"Spotted","male","3.1 3.4 3.2",26
"Spotted","female","5.6 5.7",46
"Softshell","female","11.7 11.6",20
"Softshell","female","10.3 10.2",19
"Softshell","female","10.1 10.1 10.2 10.2",21
"Spotted","female","5.0 5.0 5.3",48
"Softshell","female","11.4 11.2 11.1 11.2",15
"Softshell","female","10.2 10.3 10.2",21
"Spotted","female","5.1 5.0 4.9 5.1",56
"Spotted","male","2.6 3.0 3.0 2.9",11
"Spotted","female","4.0 4.2",69
"Spotted","female","4.3 4.3 4.4",29
"Spotted","female","5.7 5.6",69
"Spotted","female","4.5 4.6 4.5 4.6",20
"Spotted","male","3.8 3.8 3.7",33
"Softshell","male","8.9 8.7 8.9",15
"Spotted","female","4.3 4.2 4.3",38
"Spotted","male","4.2 4.3 4.4 4.4",51
"Softshell","male","9.7 9.8 9.8 9.7",19
"Spotted","female","4.3 4.5 4.4 4.4",101
"Spotted","female","4.1 4.7 4.3 4.4 4.3",31
"Spotted","male","3.5 3.5 3.6",21
"Softshell","male","10.1 10.0 10.0 9.8",23
"Softshell","female","10.3 10.3",30
"Softshell","male","9.6 9.9 9.8 9.9",23
"Softshell","female","10.0 10.0",12
"Softshell","female","10.4 10.6 10.6",20
"Spotted","female","5.1 5.2 5.1 4.9 5.0",60
"Spotted","male","4.0 4.0 4.2",31
"Spotted","female","4.7 4.6 4.7",20
"Spotted","female","4.6 4.5 4.4",48
"Softshell","female","10.2 10.1 10.3",15
"Spotted","female","5.2 5.0",55
"Softshell","female","10.6 10.4",14
"Spotted","female","3.1 3.3 3.2",19
"Spotted","female","5.3 4.9",60
"Spotted","male","3.6 3.3 3.5",34
"Spotted","male","3.3 3.2 3.2 3.3 3.4 3.2",32
"Softshell","female","11.2 11.0",33
"Spotted","male","3.4 3.7 3.6",27
"Spotted","male","3.9 3.9 3.9",37
"Softshell","female","10.1 10.2 10.1 10.1",20
"Softshell","female","11.1 11.2",26
"Spotted","female","4.8 4.8 4.9 4.8",79
"Softshell","male","9.0 9.0 8.8 8.9",15
"Spotted","male","3.5 3.5",38
"Spotted","female","4.3 4.2",31
"Spotted","female","5.6 5.5",57
"Softshell","female","10.8 10.8 11.0",27
"Spotted","female","5.2 5.1 5.1 4.9",75
"Spotted","male","2.7 2.7",21
"Spotted","female","4.2 4.4 4.2",70
"Spotted","male","4.2 4.3 4.2 4.4",36
"Softshell","female","10.0 10.0",8
"Softshell","male","9.1 8.9 8.9",23
"Spotted","female","5.5 5.5",91
"Spotted","female","5.4 5.2 5.3",75
"Softshell","male","9.7 9.6 9.7",24
"Softshell","male","9.0 9.1 9.1",18
"Softshell","female","10.4 9.9 10.0",15
"Softshell","female","10.2 10.7 10.6",15
"Softshell","female","10.6 10.6 10.5 10.8",17
"Softshell","female","10.6 10.8",24
"Spotted","female","5.4 5.4 5.3",89
"Softshell","male","9.9 9.9 9.8 9.9 9.7",24
"Spotted","male","3.4 3.6",18
"Softshell","male","8.7 9.0 8.8 9.1",10
"Spotted","female","5.0 5.5 5.4 5.4 5.2",62
"Spotted","female","5.0 5.2 5.2",53
"Softshell","female","10.3 10.0 10.1",14
"Spotted","male","4.2 4.3",37
"Spotted","male","4.1 4.0 3.8 4.0",40
"Spotted","male","3.0 3.0",16
"Softshell","male","9.8 9.7 9.9 9.8",18
"Spotted","female","5.1 5.3 5.2 5.0",44
"Softshell","female","10.3 10.3 10.6",27
"Spotted","female","4.0 4.1 4.1 4.1",43
"Spotted","female","4.7 5.0",65
"Softshell","male","9.5 9.8 9.6",21
"Softshell","male","10.6 10.3 10.6",18
"Softshell","female","11.2 11.4 11.2",27
"Softshell","female","10.2 10.3",12
"Spotted","male","3.3 3.2",41
"Softshell","male","8.9 8.6",9
"Softshell","female","10.9 11.2",18
"Spotted","male","4.1 4.1",41
"Softshell","male","9.0 8.8 8.8 8.7",5
"Spotted","female","5.1 4.9 5.1",71
"Spotted","female","4.8 4.5 4.8",23
"Softshell","female","10.5 10.6",17
"Softshell","female","9.9 9.8 9.8 9.9 10.1 10.1",20
"Softshell","male","9.8 10.1 10.2",30
"Spotted","female","5.5 5.4 5.6 5.5",93
"Spotted","female","4.1 4.3 4.3",28
"Softshell","female","9.7 9.5",17
"Softshell","female","10.5 10.5 10.5",24
"Softshell","male","8.4 8.3 8.6",7
"Spotted","female","3.6 3.6 3.5",35
"Softshell","female","10.5 10.7",21
"Spotted","female","4.5 4.4",28
"Spotted","male","4.0 3.9",51
"Spotted","female","4.9 5.2",39
"Spotted","male","3.5 3.2 3.0 3.1",27
"Spotted","female","5.6 5.7 5.5 5.5 5.7",86
"Softshell","female","10.3 10.1 10.1 10.3 10.2",17
"Spotted","male","3.0 3.1 2.9",36
"Spotted","male","3.5 3.7 3.7",31
"Spotted","female","5.4 5.5",59
"Softshell","female","11.1 10.9 11.1 11.0",23
"Spotted","male","2.0 2.0 2.0",2
"Spotted","male","4.0 4.1",26
"Spotted","female","5.6 5.7 5.6 5.4 5.3",55
"Softshell","male","9.2 9.2 9.2",26
"Spotted","female","4.4 4.4 4.4",34
"Spotted","male","3.4 3.3 3.5",21
"Softshell","female","10.6 10.7 10.7 10.6",18
"Softshell","female","10.3 10.4",15
"Softshell","male","10.0 9.8 10.0",22
"Spotted","female","5.3 5.5",69
"Softshell","male","9.1 9.1",16
"Spotted","female","5.6 5.4",43
"Spotted","male","4.1 4.2 4.0 4.1",37
"Spotted","female","5.8 5.8 5.5",78
"Softshell","male","9.1 8.9 9.3 8.8",19
"Softshell","female","9.8 9.7",14
"Spotted","male","4.1 4.1",32
"Softshell","female","11.6 11.8 11.8 11.6",29
"Softshell","female","11.2 11.4",27
"Spotted","female","5.3 5.3 5.2 5.2 5.5",77
"Softshell","female","10.6 10.8 10.7 10.9 10.9",30
"Spotted","female","4.6 4.7 4.9",66
"Softshell","male","9.3 9.1",18
"Softshell","male","9.2 9.2 9.0 9.0",10
"Spotted","female","4.6 4.6",27
"Softshell","female","10.2 10.0",18
"Spotted","male","2.6 2.5",22
"Softshell","male","9.9 10.0 10.0",19
"Spotted","female","4.5 4.4 4.6",35
"Spotted","male","3.4 3.4",28
"Spotted","female","5.5 5.2 5.4",47
"Spotted","female","5.8 6.2",78
"Softshell","female","9.5 9.7 9.7",15
"Softshell","male","8.0 8.1 8.1",4
"Spotted","female","5.2 5.4",65
"Softshell","female","10.9 10.7",26
"Spotted","male","3.9 4.1",23
"Softshell","male","9.1 9.1 9.2",9
"Softshell","female","10.2 10.5",14
"Spotted","female","5.5 5.3",88
"Softshell","male","7.8 7.8 7.7 7.6 7.8",12
